開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
蜂蠆	蜂虿	feng1 chai4
風車	风车	feng1 che1
風馳電掣	风驰电掣	feng1 chi2 dian4 che4
風吹雨打	风吹雨打	feng1 chui1 yu3 da3
瘋癲	疯癫	feng1 dian1
風度翩翩	风度翩翩	feng1 du4 pian1 pian1
风范	風範	feng1 fan4
瘋瘋癲癲	疯疯癫癫	feng1 feng1 dian1 dian1
瘋瘋癲癲	疯疯癫癫	feng1 feng1 dian1 dian1
豐富	丰富	feng1 fu4
風格	风格	feng1 ge2
風光	风光	feng1 guang1
風光旖旎	风光旖旎	feng1 guang1 yi3 ni3
風光	风光	feng1 guang5
風寒	风寒	feng1 han2
風和日麗	风和日丽	feng1 he2 ri4 li4
封侯	封侯	feng1 hou2
峰會	峰会	feng1 hui4
烽火	烽火	feng1 huo3
烽火台	烽火台	feng1 huo3 tai2
封建王朝	封建王朝	feng1 jian4 wang2 chao2
蜂膠	蜂胶	feng1 jiao1
風景	风景	feng1 jing3
瘋狂	疯狂	feng1 kuang2
風雷	风雷	feng1 lei2
鋒利	锋利	feng1 li4
風馬牛不相及	风马牛不相及	feng1 ma3 niu2 bu4 xiang1 ji2
鋒芒	锋芒	feng1 mang2
鋒鋩	锋铓	feng1 mang2
風靡	风靡	feng1 mi3
蜂蜜	蜂蜜	feng1 mi4
封面	封面	feng1 mian4
豐沛	丰沛	feng1 pei4
風切變	风切变	feng1 qie1 bian4
風情	风情	feng1 qing2
豐饒	丰饶	feng1 rao2
鋒銳	锋锐	feng1 rui4
封殺	封杀	feng1 sha1
風扇	风扇	feng1 shan4
豐盛	丰盛	feng1 sheng4
風濕	风湿	feng1 shi1
楓樹	枫树	feng1 shu4
風水先生	风水先生	feng1 shui3 xian1 sheng1
風俗	风俗	feng1 su2
封鎖	封锁	feng1 suo3
風調雨順	风调雨顺	feng1 tiao2 yu3 shun4
風土人情	风土人情	feng1 tu3 ren2 qing2
風向	风向	feng1 xiang4
風雪	风雪	feng1 xue3
風雅	风雅	feng1 ya3
楓葉	枫叶	feng1 ye4
豐衣足食	丰衣足食	feng1 yi1 zu2 shi2
蜂擁而至	蜂拥而至	feng1 yong1 er2 zhi4
豐腴	丰腴	feng1 yu2
風雨淒淒	风雨凄凄	feng1 yu3 qi1 qi1
風雨如磐	风雨如磐	feng1 yu3 ru2 pan2
風雨之夕	风雨之夕	feng1 yu3 zhi1 xi1
風雲	风云	feng1 yun2
風韻	风韵	feng1 yun4
風箏	风筝	feng1 zheng1
丰姿	丰姿	feng1 zi1
縫被子	缝被子	feng2 bei4 zi5
縫補	缝补	feng2 bu3
縫補衣服	缝补衣服	feng2 bu3 yi1 fu5
逢場作戲	逢场作戏	feng2 chang3 zuo4 xi4
縫縫連連	缝缝连连	feng2 feng2 lian2 lian2
縫好	缝好	feng2 hao3
縫合	缝合	feng2 he2
縫合傷口	缝合伤口	feng2 he2 shang1 kou3
縫合線	缝合线	feng2 he2 xian4
縫釦子	缝扣子	feng2 kou4 zi5
縫紉	缝纫	feng2 ren4
縫紉車間	缝纫车间	feng2 ren4 che1 jian1
縫紉機	缝纫机	feng2 ren4 ji1
縫上	缝上	feng2 shang4
縫線	缝线	feng2 xian4
縫葉鶯	缝叶莺	feng2 ye4 ying1
縫衣服	缝衣服	feng2 yi1 fu2
縫衣機	缝衣机	feng2 yi1 ji1
逢迎	逢迎	feng2 ying2
縫針	缝针	feng2 zhen1
縫製	缝制	feng2 zhi4
縫綴	缝缀	feng2 zhui4
縫綴領章	缝缀领章	feng2 zhui4 ling3 zhang1
縫綴破衣服	缝缀破衣服	feng2 zhui4 po4 yi1 fu5
諷刺	讽刺	feng3 ci4
縫兒	缝儿	feng4 er5
奉公守法	奉公守法	feng4 gong1 shou3 fa3
鳳凰	凤凰	feng4 huang2
俸祿	俸禄	feng4 lu4
奉命	奉命	feng4 ming4
奉命行事	奉命行事	feng4 ming4 xing2 shi4
奉陪	奉陪	feng4 pei2
奉勸	奉劝	feng4 quan4
奉若神明	奉若神明	feng4 ruo4 shen2 ming2
奉祀	奉祀	feng4 si4
奉為圭臬	奉为圭臬	feng4 wei2 gui1 nie4
縫隙	缝隙	feng4 xi4
奉獻	奉献	feng4 xian4
縫子	缝子	feng4 zi5
佛殿	佛殿	fo2 dian4
佛號	佛号	fo2 hao4
佛教	佛教	fo2 jiao4
佛龕	佛龛	fo2 kan1
佛寺	佛寺	fo2 si4
佛頭著糞	佛头着粪	fo2 tou2 zhuo2 fen4
佛陀	佛陀	fo2 tuo2
佛爺	佛爷	fo2 ye5
佛祖	佛祖	fo2 zu3
否認	否认	fou2 ren4
否則	否则	fou2 ze2
孵蛋	孵蛋	fu1 dan4
夫婦	夫妇	fu1 fu4
夫家	夫家	fu1 jia1
夫君	夫君	fu1 jun1
孵卵	孵卵	fu1 luan3
麩皮	麸皮	fu1 pi2
夫妻	夫妻	fu1 qi1
膚淺	肤浅	fu1 qian3
夫輕諾必寡信	夫轻诺必寡信	fu1 qing1 nuo4 bi4 gua3 xin4
夫人	夫人	fu1 ren2
孵小雞	孵小鸡	fu1 xiao3 ji1
敷衍	敷衍	fu1 yan3
敷衍了事	敷衍了事	fu1 yan3 liao3 shi4
敷衍搪塞	敷衍搪塞	fu1 yan3 tang2 se4
麩子	麸子	fu1 zi5
趺坐	趺坐	fu1 zuo4
浮槎	浮槎	fu2 cha2
服差役	服差役	fu2 chai1 yi4
浮沉	浮沉	fu2 chen2
浮出台面	浮出台面	fu2 chu1 tai2 mian4
服從	服从	fu2 cong2
福大命大	福大命大	fu2 da4 ming4 da4
浮雕	浮雕	fu2 diao1
浮動	浮动	fu2 dong4
幅度	幅度	fu2 du4
伏法	伏法	fu2 fa3
符號	符号	fu2 hao4
符合	符合	fu2 he2
符合標準	符合标准	fu2 he2 biao1 zhun3
符合要求	符合要求	fu2 he2 yao1 qiu2
符節	符节	fu2 jie2
扶老挈幼	扶老挈幼	fu2 lao3 qie4 you4
扶老攜幼	扶老携幼	fu2 lao3 xie2 you4
扶老攜幼	扶老携幼	fu2 lao3 xie2 you4
茯苓	茯苓	fu2 ling2
俘虜	俘虏	fu2 lu3
福祿壽	福禄寿	fu2 lu4 shou4
浮漚	浮沤	fu2 ou1
浮萍	浮萍	fu2 ping2
福氣	福气	fu2 qi4
芙蓉	芙蓉	fu2 rong2
福如東海	福如东海	fu2 ru2 dong1 hai3
福如東海，壽比南山	福如东海，寿比南山	fu2 ru2 dong1 hai3 shou4 bi3 nan2 shan1
輻射	辐射	fu2 she4
浮屍	浮尸	fu2 shi1
服侍	服侍	fu2 shi4
服飾	服饰	fu2 shi4
扶手	扶手	fu2 shou3
扶梯	扶梯	fu2 ti1
福無雙至，禍不單行	福无双至，祸不单行	fu2 wu2 shuang1 zhi4 huo4 bu4 dan1 xing2
服務	服务	fu2 wu4
服務周到	服务周到	fu2 wu4 zhou1 dao4
伏羲	伏羲	fu2 xi1
服刑	服刑	fu2 xing2
服藥	服药	fu2 yao4
扶掖	扶掖	fu2 ye4
服役	服役	fu2 yi4
浮雲飄然而過	浮云飘然而过	fu2 yun2 piao1 ran2 er2 guo4
浮躁	浮躁	fu2 zao4
扶杖	扶杖	fu2 zhang4
扶植	扶植	fu2 zhi2
扶植勢力	扶植势力	fu2 zhi2 shi4 li4
福祉	福祉	fu2 zhi3
浮腫	浮肿	fu2 zhong3
服裝	服装	fu2 zhuang1
服裝設計師	服装设计师	fu2 zhuang1 she4 ji4 shi1
服裝整飭	服装整饬	fu2 zhuang1 zheng3 chi4
伏罪	伏罪	fu2 zui4
服罪	服罪	fu2 zui4
腐敗	腐败	fu3 bai4
輔弼	辅弼	fu3 bi4
府城	府城	fu3 cheng2
俯衝	俯冲	fu3 chong1
府綢	府绸	fu3 chou2
輔導	辅导	fu3 dao3
府邸	府邸	fu3 di3
釜底抽薪	釜底抽薪	fu3 di3 chou1 xin1
府第	府第	fu3 di4
俯地挺身	俯地挺身	fu3 di4 ting3 shen1
伏瘕	伏瘕	fu3 jia3
俯瞰	俯瞰	fu3 kan4
腐爛	腐烂	fu3 lan4
撫摸	抚摸	fu3 mo1
撫弄	抚弄	fu3 nong4
府上	府上	fu3 shang4
腐蝕	腐蚀	fu3 shi2
斧頭	斧头	fu3 tou5
俯臥撐	俯卧撑	fu3 wo4 cheng1
腐朽	腐朽	fu3 xiu3
腐朽沒落	腐朽没落	fu3 xiu3 mo4 luo4
撫養	抚养	fu3 yang3
斧鉞	斧钺	fu3 yue4
腑臟	腑脏	fu3 zang4
拊掌	拊掌	fu3 zhang3
輔助	辅助	fu3 zhu4
輔佐	辅佐	fu3 zuo3
覆被	覆被	fu4 bei4
富比王侯	富比王侯	fu4 bi3 wang2 hou2
復辟	复辟	fu4 bi4
腹部	腹部	fu4 bu4
覆巢無完卵	覆巢无完卵	fu4 chao2 wu2 wan2 luan3
復仇	复仇	fu4 chou2
副詞	副词	fu4 ci2
負擔	负担	fu4 dan1
附耳過來	附耳过来	fu4 er3 guo4 lai2
富二代	富二代	fu4 er4 dai4
覆蓋	覆盖	fu4 gai4
覆蓋面	覆盖面	fu4 gai4 mian4
訃告	讣告	fu4 gao4
付給	付给	fu4 gei3
副行長	副行长	fu4 hang2 zhang3
富豪	富豪	fu4 hao2
負荷	负荷	fu4 he4
附和	附和	fu4 he4
傅會	傅会	fu4 hui4
赴會	赴会	fu4 hui4
附會	附会	fu4 hui4
附加	附加	fu4 jia1
附近	附近	fu4 jin4
負荊請罪	负荆请罪	fu4 jing1 qing3 zui4
副局長	副局长	fu4 ju2 zhang3
赴考	赴考	fu4 kao3
付款	付款	fu4 kuan3
負離子	负离子	fu4 li2 zi3
富埒皇室	富埒皇室	fu4 lie4 huang2 shi4
富埒陶白	富埒陶白	fu4 lie4 tao2 bai2
富埒天子	富埒天子	fu4 lie4 tian1 zi3
富埒王侯	富埒王侯	fu4 lie4 wang2 hou2
附錄	附录	fu4 lu4
負面	负面	fu4 mian4
負面影響	负面影响	fu4 mian4 ying3 xiang3
覆滅	覆灭	fu4 mie4
覆沒	覆没	fu4 mo4
父母	父母	fu4 mu3
婦女	妇女	fu4 nv3
覆盆之冤	覆盆之冤	fu4 pen2 zhi1 yuan1
覆盆子	覆盆子	fu4 pen2 zi5
腹鰭	腹鳍	fu4 qi2
付訖	付讫	fu4 qi4
付錢	付钱	fu4 qian2
父親	父亲	fu4 qin5
富饒	富饶	fu4 rao2
富人	富人	fu4 ren2
婦孺	妇孺	fu4 ru2
富商	富商	fu4 shang1
富商大賈	富商大贾	fu4 shang1 da4 
蝮蛇	蝮蛇	fu4 she2
副書記	副书记	fu4 shu1 ji5
附屬	附属	fu4 shu3
富庶	富庶	fu4 shu4
複數	复数	fu4 shu4
覆水難收	覆水难收	fu4 shui3 nan2 shou1
復甦	复甦	fu4 su1
赴湯蹈火	赴汤蹈火	fu4 tang1 dao4 huo3
覆亡	覆亡	fu4 wang2
訃聞	讣闻	fu4 wen2
付息	付息	fu4 xi1
復習	复习	fu4 xi2
負屭	负屃	fu4 xi4
赴宴	赴宴	fu4 yan4
複印	复印	fu4 yin4
附庸風雅	附庸风雅	fu4 yong1 feng1 ya3
富有	富有	fu4 you3
賦予	赋予	fu4 yu3
富裕	富裕	fu4 yu4
馥郁	馥郁	fu4 yu4
富餘	富余	fu4 yu5
富餘人員	富余人员	fu4 yu5 ren2 yuan2
復原	复原	fu4 yuan2
赴約	赴约	fu4 yue1
複雜	复杂	fu4 za2
負責	负责	fu4 ze2
負責人	负责人	fu4 ze2 ren2
負責任	负责任	fu4 ze2 ren4
付帳	付帐	fu4 zhang4
付賬	付账	fu4 zhang4
覆轍	覆辙	fu4 zhe2
付之一炬	付之一炬	fu4 zhi1 yi2 ju4
複製	复制	fu4 zhi4
覆舟	覆舟	fu4 zhou1
付諸東流	付诸东流	fu4 zhu1 dong1 liu2
付諸流水	付诸流水	fu4 zhu1 liu2 shui3
副主席	副主席	fu4 zhu3 xi2
縛住	缚住	fu4 zhu4
附著	附着	fu4 zhuo2
副總理	副总理	fu4 zong3 li3
副總統	副总统	fu4 zong3 tong3
副作用	副作用	fu4 zuo4 yong4
嘎的一聲	嘎的一声	ga1 de5 yi4 sheng1
嘎嘎	嘎嘎	ga1 ga1
旮旯	旮旯	ga1 la2
咖喱	咖喱	ga1 li2
噶倫	噶伦	ga2 lun2
軋朋友	轧朋友	ga2 peng2 you5
噶廈	噶厦	ga2 xia4
軋賬	轧账	ga2 zhang4
尕驢兒	尕驴儿	ga3 lv2 er5
尕娃	尕娃	ga3 wa2
該當	该当	gai1 dang1
垓垓	垓垓	gai1 gai1
垓垓攘攘	垓垓攘攘	gai1 gai1 rang3 rang3
垓極	垓极	gai1 ji2
改編	改编	gai3 bian1
改變	改变	gai3 bian4
改變心意	改变心意	gai3 bian4 zhu3 yi4
改朝換代	改朝换代	gai3 chao2 huan4 dai4
改革	改革	gai3 ge2
改過自新	改过自新	gai3 guo4 zi4 xin1
改嫁	改嫁	gai3 jia4
改醮	改醮	gai3 jiao4
改卷子	改卷子	gai3 juan4 zi5
改考卷	改考卷	gai3 kao3 juan4
改名	改名	gai3 ming2
改名換姓	改名换姓	gai3 ming2 huan4 xing4
改容換貌	改容换貌	gai3 rong2 huan4 mao4
改善	改善	gai3 shan4
改文章	改文章	gai3 wen2 zhang1
改寫	改写	gai3 xie3
改運換命	改运换命	gai3 yun4 huan4 ming4
改作文	改作文	gai3 zuo4 wen2
丐幫	丐帮	gai4 bang1
蓋棺論定	盖棺论定	gai4 guan1 lun4 ding4
概括	概括	gai4 kuo4
概率	概率	gai4 lv4
概念	概念	gai4 nian4
概述	概述	gai4 shu4
蓋子	盖子	gai4 zi5
乾巴巴	干巴巴	gan1 ba1 ba1
甘拜下風	甘拜下风	gan1 bai4 xia4 feng1
乾癟	干瘪	gan1 bie3
甘草人物	甘草人物	gan1 cao3 ren2 wu4
甘醇	甘醇	gan1 chun2
乾脆	干脆	gan1 cui4
乾打雷，不下雨	干打雷，不下雨	gan1 da3 lei2 bu2 xia4 yu3
肝膽相照	肝胆相照	gan1 dan3 xiang1 zhao4
乾瞪眼	干瞪眼	gan1 deng4 yan3
竿兒	竿儿	gan1 er5
尷尬	尴尬	gan1 ga4
干戈擾攘	干戈扰攘	gan1 ge1 rao3 rang3
乾旱	干旱	gan1 han4
干將	干将	gan1 jiang1
干將莫邪	干将莫邪	gan1 jiang1 mo4 ye2
干將鏌鋣	干将镆铘	gan1 jiang1 mo4 ye2
乾淨	干净	gan1 jing4
乾淨利落	干净利落	gan1 jing4 li4 luo5
柑橘	柑橘	gan1 ju2
乾枯	干枯	gan1 ku1
甘藍	甘蓝	gan1 lan2
乾酪	干酪	gan1 lao4
甘霖	甘霖	gan1 lin2
肝腦塗地	肝脑涂地	gan1 nao3 tu2 di4
干擾	干扰	gan1 rao3
乾澀	干涩	gan1 se4
干涉	干涉	gan1 she4
乾瘦	干瘦	gan1 shou4
泔水	泔水	gan1 shui3
乾嗽	干嗽	gan1 sou4
甘甜	甘甜	gan1 tian2
干係	干系	gan1 xi4
乾笑	干笑	gan1 xiao4
甘心	甘心	gan1 xin1
乾癬	干癣	gan1 xuan3
甘油炸藥	甘油炸药	gan1 you2 zha4 yao4
甘願	甘愿	gan1 yuan4
肝臟	肝脏	gan1 zang4
甘蔗	甘蔗	gan1 zhe4
干支	干支	gan1 zhi1
甘之如飴	甘之如饴	gan1 zhi1 ru2 yi2
竿子	竿子	gan1 zi5
趕不到	赶不到	gan3 bu5 dao4
趕不及	赶不及	gan3 bu5 ji2
趕不上	赶不上	gan3 bu5 shang4
趕場	赶场	gan3 chang3
趕超	赶超	gan3 chao1
趕潮流	赶潮流	gan3 chao2 liu2
趕車	赶车	gan3 che1
趕出	赶出	gan3 chu1
趕出來	赶出来	gan3 chu1 lai2
趕出去	赶出去	gan3 chu1 qu4
感觸	感触	gan3 chu4
敢當	敢当	gan3 dang1
趕到	赶到	gan3 dao4
趕到現場	赶到现场	gan3 dao4 xian4 chang3
趕得及	赶得及	gan3 de5 ji2
趕得上	赶得上	gan3 de5 shang4
感動	感动	gan3 dong4
感恩	感恩	gan3 en1
感恩節	感恩节	gan3 en1
感恩荷德	感恩荷德	gan3 en1 he4 de2
趕赴	赶赴	gan3 fu4
趕稿	赶稿	gan3 gao3
趕工	赶工	gan3 gong1
感官	感官	gan3 guan1
感光	感光	gan3 guang1
趕過來	赶过来	gan3 guo4 lai2
趕過去	赶过去	gan3 guo4 qu4
感荷	感荷	gan3 he4
趕回	赶回	gan3 hui2
趕回來	赶回来	gan3 hui2 lai2
趕回去	赶回去	gan3 hui2 qu4
趕活	赶活	gan3 huo2
趕活兒	赶活儿	gan3 huo2 er5
感激不盡	感激不尽	gan3 ji1 bu2 jin4
趕集	赶集	gan3 ji2
趕緊	赶紧	gan3 jin3
趕進	赶进	gan3 jin4
趕進來	赶进来	gan3 jin4 lai2
趕進去	赶进去	gan3 jin4 qu4
趕盡殺絕	赶尽杀绝	gan3 jin4 sha1 jue2
感覺	感觉	gan3 jue2
感慨	感慨	gan3 kai3
趕考	赶考	gan3 kao3
趕快	赶快	gan3 kuai4
趕快來	赶快来	gan3 kuai4 lai2
趕快去	赶快去	gan3 kuai4 qu4
趕來趕去	赶来赶去	gan3 lai2 gan3 qu4
橄欖	橄榄	gan3 lan3
橄欖樹	橄榄树	gan3 lan3 shu4
橄欖油	橄榄油	gan3 lan3 you2
趕路	赶路	gan3 lu4
趕騾	赶骡	gan3 luo2
趕驢	赶驴	gan3 lv3
趕馬	赶马	gan3 ma3
趕忙	赶忙	gan3 mang2
感冒	感冒	gan3 mao4
趕廟會	赶庙会	gan3 miao4 hui4
趕牛	赶牛	gan3 niu2
感佩	感佩	gan3 pei4
感情	感情	gan3 qing2
感情不和	感情不和	gan3 qing2 bu4 he2
感染	感染	gan3 ran3
趕熱鬧	赶热闹	gan3 re4 nao4
趕上	赶上	gan3 shang4
趕上火車	赶上火车	gan3 shang4 huo3 che1
趕時間	赶时间	gan3 shi2 jian1
趕時髦	赶时髦	gan3 shi2 mao2
感受	感受	gan3 shou4
敢說	敢说	gan3 shuo1
感歎	感叹	gan3 tan4
感歎號	感叹号	gan3 tan4 hao4
感同身受	感同身受	gan3 tong2 shen1 shou4
趕往	赶往	gan3 wang3
感悟	感悟	gan3 wu4
趕鴨子	赶鸭子	gan3 ya1 zi5
趕鴨子上架	赶鸭子上架	gan3 ya1 zi5 shang4 jia4
趕羊	赶羊	gan3 yang2
感召	感召	gan3 zhao4
桿子	杆子	gan3 zi5
稈子	秆子	gan3 zi5
趕走	赶走	gan3 zou3
敢作敢當	敢作敢当	gan3 zuo4 gan3 dang1
敢做敢當	敢做敢当	gan3 zuo4 gan3 dang1
幹部	干部	gan4 bu4
幹掉	干掉	gan4 diao4
幹活	干活	gan4 huo2
幹將	干将	gan4 jiang4
幹勁	干劲	gan4 jin4
幹勁衝天	干劲冲天	gan4 jin4 chong1 tian1
贛劇	赣剧	gan4 ju4
幹嗎	干吗	gan4 ma2
幹嘛	干嘛	gan4 ma2
淦水	淦水	gan4 shui3
鋼鏰兒	钢镚儿	gang1 beng4 er5
鋼筆	钢笔	gang1 bi3
剛愎自用	刚愎自用	gang1 bi4 zi4 yong4
剛才	刚才	gang1 cai2
鋼錠	钢锭	gang1 ding4
剛剛	刚刚	gang1 gang1
剛好	刚好	gang1 hao3
鋼筋	钢筋	gang1 jin1
剛勁	刚劲	gang1 jing4
綱舉目張	纲举目张	gang1 ju3 mu4 zhang1
鋼捲尺	钢卷尺	gang1 juan3 chi3
綱領	纲领	gang1 ling3
綱領性	纲领性	gang1 ling3 xing4
岡巒	冈峦	gang1 luan2
肛門	肛门	gang1 men2
缸盆	缸盆	gang1 pen2
鋼坯	钢坯	gang1 pi1
鋼琴	钢琴	gang1 qin2
鋼琴曲	钢琴曲	gang1 qin2 qu3
鋼索	钢索	gang1 suo3
鋼鐵	钢铁	gang1 tie3
綱要	纲要	gang1 yao4
剛毅	刚毅	gang1 yi4
剛正不阿	刚正不阿	gang1 zheng4 bu4 e1
剛直不阿	刚直不阿	gang1 zhi2 bu4 e1
港口	港口	gang3 kou3
崗位	岗位	gang3 wei4
戇直	戆直	gang4 zhi2
高昂	高昂	gao1 ang2
糕餅	糕饼	gao1 bing3
高不成低不就	高不成低不就	gao1 bu4 cheng2 di1 bu2 jiu4
高層	高层	gao1 ceng2
高超	高超	gao1 chao1
高潮	高潮	gao1 chao2
高大	高大	gao1 da4
糕點	糕点	gao1 dian3
糕點屑	糕点屑	gao1 dian3 xie4
高調	高调	gao1 diao4
高度	高度	gao1 du4
高端	高端	gao1 duan1
高爾夫	高尔夫	gao1 er3 fu1
高爾夫球	高尔夫球	gao1 er3 fu1 qiu2
高爾夫球場	高尔夫球场	gao1 er3 fu1 qiu2 chang3
高峰	高峰	gao1 feng1
高跟鞋	高跟鞋	gao1 gen1 xie2
高管	高管	gao1 guan3
高翬	高翚	gao1 hui1
高級	高级	gao1 ji2
高價	高价	gao1 jia4
高亢	高亢	gao1 kang4
高考	高考	gao1 kao3
高科技	高科技	gao1 ke1 ji4
高空	高空	gao1 kong1
高利貸	高利贷	gao1 li4 dai4
高麗參	高丽参	gao1 li4 shen1
高粱	高粱	gao1 liang2
高粱稈	高粱秆	gao1 liang2 gan3
高齡	高龄	gao1 ling2
高齡化	高龄化	gao1 ling2 hua4
高齡化社會	高龄化社会	gao1 ling2 hua4 she4 hui4
高嶺石	高岭石	gao1 ling3 shi2
高嶺土	高岭土	gao1 ling3 tu3
高帽子	高帽子	gao1 mao4 zi5
高攀	高攀	gao1 pan1
高炮	高炮	gao1 pao4
高頻	高频	gao1 pin2
高強	高强	gao1 qiang2
高蹺	高跷	gao1 qiao1
高清	高清	gao1 qing1
高球	高球	gao1 qiu2
高尚	高尚	gao1 shang4
高射炮	高射炮	gao1 she4 pao4
高深莫測	高深莫测	gao1 shen1 mo4 ce4
高速公路	高速公路	gao1 su4 gong1 lu4
高速切削	高速切削	gao1 su4 qie1 xiao1
高談闊論	高谈阔论	gao1 tan2 kuo4 lun4
睾丸	睾丸	gao1 wan2
高溫	高温	gao1 wen1
高校	高校	gao1 xiao4
高薪	高薪	gao1 xin1
高興	高兴	gao1 xing4
高血壓	高血压	gao1 xue4 ya1
高壓	高压	gao1 ya1
羔羊	羔羊	gao1 yang2
膏藥	膏药	gao1 yao4
膏腴	膏腴	gao1 yu2
膏腴之地	膏腴之地	gao1 yu2 zhi1 di4
高原	高原	gao1 yuan2
高瞻遠矚	高瞻远瞩	gao1 zhan1 yuan3 zhu3
高漲	高涨	gao1 zhang3
高招	高招	gao1 zhao1
高著	高着	gao1 zhao1
高中	高中	gao1 zhong1
高中生	高中生	gao1 zhong1 sheng1
高中文憑	高中文凭	gao1 zhong1 wen2 ping2
膏子	膏子	gao1 zi5
稿酬	稿酬	gao3 chou2
縞帶	缟带	gao3 dai4
搞定	搞定	gao3 ding4
稿費	稿费	gao3 fei4
槁木	槁木	gao3 mu4
槁木死灰	槁木死灰	gao3 mu4 si3 hui1
搞清楚	搞清楚	gao3 qing1 chu5
縞素	缟素	gao3 su4
鎬頭	镐头	gao3 tou5
搞妥	搞妥	gao3 tuo3
縞衣	缟衣	gao3 yi1
縞羽	缟羽	gao3 yu3
搞砸	搞砸	gao3 za2
搞糟	搞糟	gao3 zao1
稿子	稿子	gao3 zi5
誥封	诰封	gao4 feng1
告誡	告诫	gao4 jie4
誥命	诰命	gao4 ming4
告罄	告罄	gao4 qing4
告上法庭	告上法庭	gao4 shang4 fa3 ting2
告訴	告诉	gao4 su4
告訴我	告诉我	gao4 su4 wo3
告一段落	告一段落	gao4 yi2 duan4 luo4
告知	告知	gao4 zhi1
告終	告终	gao4 zhong1
擱筆	搁笔	ge1 bi3
胳臂	胳臂	ge1 bi4
胳膊	胳膊	ge1 bo5
胳膊擰不過大腿	胳膊拧不过大腿	ge1 bo5 ning3 bu4 guo5 da4 tui3
胳膊扭不過大腿	胳膊扭不过大腿	ge1 bo5 niu3 bu4 guo5 da4 tui3
胳膊腕	胳膊腕	ge1 bo5 wan4
胳膊腕兒	胳膊腕儿	ge1 bo5 wan4 er5
胳膊腕子	胳膊腕子	ge1 bo5 wan4 zi5
胳膊肘	胳膊肘	ge1 bo5 zhou3
胳膊肘朝外拐	胳膊肘朝外拐	ge1 bo5 zhou3 chao2 wai4 guai3
胳膊肘兒	胳膊肘儿	ge1 bo5 zhou3 er5
胳膊肘向外拐	胳膊肘向外拐	ge1 bo5 zhou3 xiang4 wai4 guai3
胳膊肘子	胳膊肘子	ge1 bo5 zhou3 zi5
割草機	割草机	ge1 cao3 ji1
歌唱	歌唱	ge1 chang4
歌唱比賽	歌唱比赛	ge1 chang4 bi3 sai4
歌詞	歌词	ge1 ci2
圪墶	圪墶	ge1 da5
疙瘩	疙瘩	ge1 da5
紇繨	纥繨	ge1 da5
割稻	割稻	ge1 dao4
咯噔	咯噔	ge1 deng1
哥兒們	哥儿们	ge1 er5 men5
哥哥	哥哥	ge1 ge5
疙疙瘩瘩	疙疙瘩瘩	ge1 ge5 da1 da1
割喉	割喉	ge1 hou2
割雞焉用牛刀	割鸡焉用牛刀	ge1 ji1 yan1 yong4 niu2 dao1
歌妓	歌妓	ge1 ji4
圪節	圪节	ge1 jie5
圪蹴	圪蹴	ge1 jiu5
割據	割据	ge1 ju4
歌劇	歌剧	ge1 ju4
仡佬族	仡佬族	ge1 lao3 zu2
疙里疙瘩	疙里疙瘩	ge1 li5 ge1 da1
哥們	哥们	ge1 men5
哥們兒	哥们儿	ge1 men5 er5
歌迷	歌迷	ge1 mi2
歌女	歌女	ge1 nv3
擱淺	搁浅	ge1 qian3
歌曲	歌曲	ge1 qu3
割讓	割让	ge1 rang4
割捨	割舍	ge1 she3
歌聲	歌声	ge1 sheng1
歌聲雄渾	歌声雄浑	ge1 sheng1 xiong2 hun2
歌手	歌手	ge1 shou3
歌頌	歌颂	ge1 song4
歌舞	歌舞	ge1 wu3
歌星	歌星	ge1 xing1
圪針	圪针	ge1 zhen5
咯吱	咯吱	ge1 zhi1
胳肢窩	胳肢窝	ge1 zhi1 wo1
鴿子	鸽子	ge1 zi5
隔岸觀火	隔岸观火	ge2 an4 guan1 huo3
蛤蚌	蛤蚌	ge2 bang4
隔壁	隔壁	ge2 bi4
隔壁鄰居	隔壁邻居	ge2 bi4 lin2 ju1
葛布	葛布	ge2 bu4
擱不住	搁不住	ge2 bu5 zhu4
擱不住	搁不住	ge2 bu5 zhu4
擱得住	搁得住	ge2 de5 zhu4
擱得住	搁得住	ge2 de5 zhu4
格調	格调	ge2 diao4
格鬥	格斗	ge2 dou4
格格不入	格格不入	ge2 ge2 bu2 ru4
格格	格格	ge2 ge5
革故鼎新	革故鼎新	ge2 gu4 ding3 xin1
隔閡	隔阂	ge2 he2
蛤蚧	蛤蚧	ge2 jie4
格局	格局	ge2 ju2
閣揆	阁揆	ge2 kui2
蛤蜊	蛤蜊	ge2 li2
閣樓	阁楼	ge2 lou2
革履	革履	ge2 lv3
葛麻	葛麻	ge2 ma2
革命	革命	ge2 ming4
膈膜	膈膜	ge2 mo2
隔牆有耳	隔墙有耳	ge2 qiang2 you3 er3
葛衫	葛衫	ge2 shan1
葛藤	葛藤	ge2 teng2
格外	格外	ge2 wai4
葛衣	葛衣	ge2 yi1
擱置	搁置	ge2 zhi4
各得其所	各得其所	ge4 de2 qi2 suo3
各方面	各方面	ge4 fang1 mian4
各國	各国	ge4 guo2
各行各業	各行各业	ge4 hang2 ge4 ye4
