開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
辦利落	办利落	ban4 li4 luo5
伴侶	伴侣	ban4 lv3
拌麵	拌面	ban4 mian4
半瓶醋	半瓶醋	ban4 ping2 cu4
半球	半球	ban4 qiu2
辦喪事	办丧事	ban4 sang1 shi4
半晌	半晌	ban4 shang3
半身不遂	半身不遂	ban4 shen1 bu4 sui2
辦事	办事	ban4 shi4
辦事得力	办事得力	ban4 shi4 de2 li4
辦事爽利	办事爽利	ban4 shi4 shuang3 li4
辦事員	办事员	ban4 shi4 yuan2
伴宿	伴宿	ban4 su4
伴隨	伴随	ban4 sui2
半透明	半透明	ban4 tou4 ming2
半途而廢	半途而废	ban4 tu2 er2 fei4
半推半就	半推半就	ban4 tui1 ban4 jiu4
辦妥	办妥	ban4 tuo3
半信半疑	半信半疑	ban4 xin4 ban4 yi2
半宿	半宿	ban4 xiu3
辦學	办学	ban4 xue2
扮演	扮演	ban4 yan3
半製品	半制品	ban4 zhi4 pin3
伴奏	伴奏	ban4 zou4
幫幫忙	帮帮忙	bang1 bang1 mang2
幫倒忙	帮倒忙	bang1 dao4 mang2
邦國	邦国	bang1 guo2
幫忙	帮忙	bang1 mang2
幫派	帮派	bang1 pai4
幫派片	帮派片	bang1 pai4 pian4
幫手	帮手	bang1 shou3
幫兇	帮凶	bang1 xiong1
幫助	帮助	bang1 zhu4
梆子	梆子	bang1 zi5
梆子腔	梆子腔	bang1 zi5 qiang1
綁匪	绑匪	bang3 fei3
綁架	绑架	bang3 jia4
綁架犯	绑架犯	bang3 jia4 fan4
綁紮	绑扎	bang3 za1
磅秤	磅秤	bang4 cheng4
棒槌	棒槌	bang4 chui2
蚌殼	蚌壳	bang4 ke2
棒球	棒球	bang4 qiu2
棒球賽	棒球赛	bang4 qiu2 sai4
傍晚	傍晚	bang4 wan3
棒子麵	棒子面	bang4 zi5 mian4
包辦	包办	bao1 ban4
包辦婚姻	包办婚姻	bao1 ban4 hun1 yin1
褒貶	褒贬	bao1 bian3
包袱	包袱	bao1 fu2
包裹	包裹	bao1 guo3
包含	包含	bao1 han2
包餛飩	包馄饨	bao1 hun2 tun5
包機	包机	bao1 ji1
包君滿意	包君满意	bao1 jun1 man3 yi4
剝殼	剥壳	bao1 ke2
包括	包括	bao1 kuo4
剝皮	剥皮	bao1 pi2
剝蘋果	剥苹果	bao1 ping2 guo3
胞胎	胞胎	bao1 tai1
包圍	包围	bao1 wei2
包廂	包厢	bao1 xiang1
齙牙	龅牙	bao1 ya2
包養	包养	bao1 yang3
包圓兒	包圆儿	bao1 yuan2 er5
包紮	包扎	bao1 za1
包裝	包装	bao1 zhuang1
孢子	孢子	bao1 zi5
薄薄	薄薄	bao2 bao2
薄餅	薄饼	bao2 bing3
薄片	薄片	bao2 pian4
寶寶	宝宝	bao3 bao3
寶貝	宝贝	bao3 bei4
保鏢	保镖	bao3 biao1
寶剎	宝刹	bao3 cha4
保持	保持	bao3 chi2
保持沉默	保持沉默	bao3 chi2 chen2 mo4
保持冷靜	保持冷静	bao3 chi2 leng3 jing4
寶貴	宝贵	bao3 gui4
飽漢不知餓漢飢	饱汉不知饿汉饥	bao3 han4 bu4 zhi1 e4 han4 ji1
飽和	饱和	bao3 he2
飽和烴	饱和烃	bao3 he2 ting1
保護	保护	bao3 hu4
飽經風霜	饱经风霜	bao3 jing1 feng1 shuang1
寶庫	宝库	bao3 ku4
堡壘	堡垒	bao3 lei3
保留	保留	bao3 liu2
飽滿	饱满	bao3 man3
保密	保密	bao3 mi4
保姆	保姆	bao3 mu3
鴇母	鸨母	bao3 mu3
保人	保人	bao3 ren2
保守	保守	bao3 shou3
飽受折磨	饱受折磨	bao3 shou4 zhe2 mo2
寶塔	宝塔	bao3 ta3
寶特瓶	宝特瓶	bao3 te4 ping2
寶特瓶蓋	宝特瓶盖	bao3 te4 ping2 gai4
保衛	保卫	bao3 wei4
保險	保险	bao3 xian3
保險費	保险费	bao3 xian3 fei4
保險絲	保险丝	bao3 xian3 si1
保險套	保险套	bao3 xian3 tao4
保險箱	保险箱	bao3 xian3 xiang1
保業守成	保业守成	bao3 ye4 shou3 cheng2
保佑	保佑	bao3 you4
寶藏	宝藏	bao3 zang4
保障	保障	bao3 zhang4
保證	保证	bao3 zheng4
寶中之寶	宝中之宝	bao3 zhong1 zhi1 bao3
保住烏紗帽	保住乌纱帽	bao3 zhu4 wu1 sha1 mao4
刨冰	刨冰	bao4 bing1
爆衝突	爆冲突	bao4 chong1 tu1
報仇	报仇	bao4 chou2
報酬	报酬	bao4 chou2
刨床	刨床	bao4 chuang2
暴打	暴打	bao4 da3
刨刀	刨刀	bao4 dao1
報導	报导	bao4 dao3
報道	报道	bao4 dao4
暴跌	暴跌	bao4 die1
暴動喧鬧	暴动喧闹	bao4 dong4 xuan1 nao4
爆發	爆发	bao4 fa1
暴風雪	暴风雪	bao4 feng1 xue3
暴風雨	暴风雨	bao4 feng1 yu3
報復	报复	bao4 fu4
抱負	抱负	bao4 fu4
報告	报告	bao4 gao4
刨花	刨花	bao4 hua1
報警	报警	bao4 jing3
暴君	暴君	bao4 jun1
暴力	暴力	bao4 li4
暴戾	暴戾	bao4 li4
暴戾恣睢	暴戾恣睢	bao4 li4 zi4 sui1
爆料	爆料	bao4 liao4
暴露	暴露	bao4 lu4
暴露目標	暴露目标	bao4 lu4 mu4 biao1
暴露文學	暴露文学	bao4 lu4 wen2 xue2
暴露無遺	暴露无遗	bao4 lu4 wu2 yi2
暴米花	暴米花	bao4 mi3 hua1
爆米花	爆米花	bao4 mi3 hua1
報名	报名	bao4 ming2
刨木板	刨木板	bao4 mu4 ban3
暴虐	暴虐	bao4 nue4
刨平	刨平	bao4 ping2
爆破	爆破	bao4 po4
爆破炸彈	爆破炸弹	bao4 po4 zha4 dan4
抱樸	抱朴	bao4 pu3
抱歉	抱歉	bao4 qian4
豹死留皮，人死留名	豹死留皮，人死留名	bao4 si3 liu2 pi2 ren2 si3 liu2 ming2
暴殄天物	暴殄天物	bao4 tian3 tian1 wu4
暴跳如雷	暴跳如雷	bao4 tiao4 ru2 lei2
豹紋	豹纹	bao4 wen2
報喜不報憂	报喜不报忧	bao4 xi3 bu2 bao4 you1
報銷差旅費	报销差旅费	bao4 xiao1 chai1 lv3 fei4
爆笑	爆笑	bao4 xiao4
報業	报业	bao4 ye4
鮑魚	鲍鱼	bao4 yu2
暴雨	暴雨	bao4 yu3
抱怨	抱怨	bao4 yuan4
報載	报载	bao4 zai3
暴躁	暴躁	bao4 zao4
爆炸	爆炸	bao4 zha4
爆仗	爆仗	bao4 zhang5
暴政	暴政	bao4 zheng4
報紙	报纸	bao4 zhi3
報紙發行商	报纸发行商	bao4 zhi3 fa1 xing2 shang1
爆竹	爆竹	bao4 zhu2
刨子	刨子	bao4 zi5
悲哀	悲哀	bei1 ai1
卑鄙	卑鄙	bei1 bi3
悲慘	悲惨	bei1 can3
悲愴	悲怆	bei1 chuang4
悲愴淒涼	悲怆凄凉	bei1 chuang4 qi1 liang2
悲憤填膺	悲愤填膺	bei1 fen4 tian2 ying1
杯葛	杯葛	bei1 ge2
杯弓蛇影	杯弓蛇影	bei1 gong1 she2 ying3
悲觀	悲观	bei1 guan1
揹黑鍋	背黑锅	bei1 hei1 guo1
悲歡離合	悲欢离合	bei1 huan1 li2 he2
悲劇	悲剧	bei1 ju4
卑劣	卑劣	bei1 lie4
悲戚	悲戚	bei1 qi1
悲切	悲切	bei1 qie4
悲傷	悲伤	bei1 shang1
揹書	背书	bei1 shu1
揹書包	背书包	bei1 shu1 bao1
杯水車薪	杯水车薪	bei1 shui3 che1 xin1
碑帖	碑帖	bei1 tie4
悲慟	悲恸	bei1 tong4
卑微	卑微	bei1 wei1
卑微	卑微	bei1 wei1
碑文	碑文	bei1 wen2
杯子	杯子	bei1 zi5
北邊	北边	bei3 bian1
北部	北部	bei3 bu4
北斗星	北斗星	bei3 dou3 xing1
北方	北方	bei3 fang1
北國風光	北国风光	bei3 guo2 feng1 guang1
北極	北极	bei3 ji2
北極熊	北极熊	bei3 ji2 xiong2
北京話	北京话	bei3 jing1 hua4
備案	备案	bei4 an4
背包	背包	bei4 bao1
悖暴	悖暴	bei4 bao4
被捕入獄	被捕入狱	bei4 bu3 ru4 yu4
焙茶	焙茶	bei4 cha2
被稱為	被称为	bei4 cheng1 wei2
輩出	辈出	bei4 chu1
被單	被单	bei4 dan1
被盜	被盗	bei4 dao4
被動	被动	bei4 dong4
被俘	被俘	bei4 fu2
被覆	被覆	bei4 fu4
焙乾	焙干	bei4 gan1
被告	被告	bei4 gao4
被害	被害	bei4 hai4
被害人	被害人	bei4 hai4 ren2
輩行	辈行	bei4 hang2
背後	背后	bei4 hou4
悖晦	悖晦	bei4 hui5
背悔	背悔	bei4 hui5
背晦	背晦	bei4 hui5
被擊斃	被击毙	bei4 ji1 bi4
背脊	背脊	bei4 ji3
被記過	被记过	bei4 ji4 guo4
被劫持	被劫持	bei4 jie2 chi2
背景	背景	bei4 jing3
